country,year,drought_killed,earthquake_killed,epidemic_killed,flood_killed,storm_killed,total_forest_area,female_bmi,male_bmi,murder_rate
Afghanistan,1970,0.0,,,,,,,,
Albania,1970,0.0,,,,,,,,
Algeria,1970,0.0,,,,,,,,
Angola,1970,0.0,,,,,,,,
Antigua and Barbuda,1970,0.0,,,,,,,,
Argentina,1970,0.0,,,,,,,,
Armenia,1970,0.0,,,,,,,,
Australia,1970,0.0,,,,,,,,
Azerbaijan,1970,0.0,,,,,,,,
Bangladesh,1970,0.0,,,,,,,,
Belgium,1970,0.0,,,,,,,,
Benin,1970,0.0,,,,,,,,
Bolivia,1970,0.0,,,,,,,,
Bosnia and Herzegovina,1970,0.0,,,,,,,,
Botswana,1970,0.0,,,,,,,,
Brazil,1970,0.0,,,,,,,,
Bulgaria,1970,0.0,,,,,,,,
Burkina Faso,1970,0.0,,,,,,,,
Burundi,1970,0.0,,,,,,,,
Cambodia,1970,0.0,,,,,,,,
Cameroon,1970,0.0,,,,,,,,
Canada,1970,0.0,,,,,,,,
Cape Verde,1970,0.0,,,,,,,,
Central African Rep.,1970,0.0,,,,,,,,
Chad,1970,0.0,,,,,,,,
Chile,1970,0.0,,,,,,,,
China,1970,0.0,,,,,,,,
Colombia,1970,0.0,,,,,,,,
Comoros,1970,0.0,,,,,,,,
"Congo, Dem. Rep.",1970,0.0,,,,,,,,
"Congo, Rep.",1970,0.0,,,,,,,,
Costa Rica,1970,0.0,,,,,,,,
Cote d'Ivoire,1970,0.0,,,,,,,,
Croatia,1970,0.0,,,,,,,,
Cuba,1970,0.0,,,,,,,,
Cyprus,1970,0.0,,,,,,,,
Denmark,1970,0.0,,,,,,,,
Djibouti,1970,0.0,,,,,,,,
East Timor,1970,0.0,,,,,,,,
Ecuador,1970,0.0,,,,,,,,
El Salvador,1970,0.0,,,,,,,,
Eritrea,1970,0.0,,,,,,,,
Ethiopia,1970,0.0,,,,,,,,
Fiji,1970,0.0,,,,,,,,
France,1970,0.0,,,,,,,,
Gambia,1970,0.0,,,,,,,,
Georgia,1970,0.0,,,,,,,,
Ghana,1970,0.0,,,,,,,,
Greece,1970,0.0,,,,,,,,
Guatemala,1970,0.0,,,,,,,,
Guinea,1970,0.0,,,,,,,,
Guinea-Bissau,1970,0.0,,,,,,,,
Guyana,1970,0.0,,,,,,,,
Haiti,1970,0.0,,,,,,,,
Honduras,1970,0.0,,,,,,,,
"Hong Kong, China",1970,0.0,,,,,,,,
Hungary,1970,0.0,,,,,,,,
India,1970,0.0,,,,,,,,
Indonesia,1970,0.0,,,,,,,,
Iran,1970,0.0,,,,,,,,
Iraq,1970,0.0,,,,,,,,
Israel,1970,0.0,,,,,,,,
Italy,1970,0.0,,,,,,,,
Jamaica,1970,0.0,,,,,,,,
Japan,1970,0.0,,,,,,,,
Jordan,1970,0.0,,,,,,,,
Kenya,1970,0.0,,,,,,,,
Kiribati,1970,0.0,,,,,,,,
Korea Rep,1970,0.0,,,,,,,,
Laos,1970,0.0,,,,,,,,
Lesotho,1970,0.0,,,,,,,,
Liberia,1970,0.0,,,,,,,,
